;mass A;;;
t;x;y;v;
4,531;-0,571;2,012E−2;0,117
4,564;-0,575;2,158E−2;0,139
4,597;-0,580;2,326E−2;0,130
4,631;-0,583;2,234E−2;0,115
4,664;-0,587;2,216E−2;0,139
4,697;-0,592;2,345E−2;0,149
4,731;-0,597;2,468E−2;0,126
4,764;-0,601;2,413E−2;0,130
4,797;-0,605;2,229E−2;0,131
4,830;-0,609;2,236E−2;0,121
4,864;-0,613;2,139E−2;0,117
4,897;-0,617;2,146E−2;0,133
4,930;-0,622;2,060E−2;0,143
4,964;-0,626;1,964E−2;0,141
4,997;-0,631;2,160E−2;0,126
5,030;-0,635;2,074E−2;0,133
5,064;-0,640;1,962E−2;0,126
5,097;-0,643;1,758E−2;0,110
5,130;-0,647;1,816E−2;0,126
5,164;-0,651;1,845E−2;0,103
5,197;-0,654;1,676E−2;8,132E−2
5,230;-0,656;1,603E−2;0,101
5,264;-0,660;1,891E−2;8,984E−2
5,297;-0,662;1,687E−2;7,913E−2
5,330;-0,665;1,847E−2;8,460E−2
5,363;-0,667;1,795E−2;7,771E−2
5,397;-0,670;1,736E−2;9,540E−2
5,430;-0,674;1,860E−2;8,956E−2
5,463;-0,676;1,805E−2;0,100
5,497;-0,680;1,964E−2;9,224E−2
5,530;-0,682;1,801E−2;7,972E−2
5,563;-0,685;1,745E−2;9,674E−2
5,597;-0,689;1,806E−2;9,875E−2
5,630;-0,692;1,750E−2;0,104
5,663;-0,696;1,794E−2;0,116
5,697;-0,699;1,962E−2;8,489E−2
5,730;-0,701;1,873E−2;0,101
5,763;-0,706;1,843E−2;0,111
5,797;-0,708;1,587E−2;9,311E−2
5,830;-0,711;1,619E−2;0,123
5,863;-0,716;1,684E−2;0,109
5,896;-0,719;1,533E−2;0,101
5,930;-0,723;1,478E−2;0,187
5,963;-0,731;1,638E−2;
5,996;;;
6,030;-0,733;1,275E−2;
6,063;-0,739;1,471E−2;0,134
6,096;-0,742;1,434E−2;8,265E−2
6,130;-0,745;1,450E−2;0,111
6,163;-0,749;1,401E−2;0,139
6,196;-0,754;1,632E−2;7,974E−2
6,230;-0,755;1,358E−2;0,115
6,263;-0,761;1,821E−2;0,121
6,296;-0,762;1,687E−2;0,203
6,330;-0,774;2,338E−2;0,180
6,363;-0,774;1,731E−2;9,435E−2
6,396;-0,776;1,746E−2;0,119
6,430;-0,781;2,032E−2;0,293
6,463;-0,793;2,773E−2;
